Strong
ENSG00000128274	A4GALT	A14GALT,Gb3S,P(k)	alpha 1,4-galactosyltransferase
ENSG00000104824	HNRNPL	HNRPL	heterogeneous nuclear ribonucleoprotein L
ENSG00000099783	HNRNPM	HNRNPM4,HNRPM,HNRPM4,HTGR1,NAGR1	heterogeneous nuclear ribonucleoprotein M
ENSG00000125944	HNRNPR	hnRNP-R,HNRPR	heterogeneous nuclear ribonucleoprotein R
ENSG00000153187	HNRNPU	hnRNPU,HNRPU,SAF-A	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
ENSG00000106006	HOXA6	HOX1,HOX1B	homeobox A6
ENSG00000120093	HOXB3	HOX2,HOX2G	homeobox B3
ENSG00000163106	HPGDS	GSTS,H-PGDS,PGDS	hematopoietic prostaglandin D synthase
ENSG00000100209	HSCB	DNAJC20,HSC20,Jac1	HscB iron-sulfur cluster co-chaperone homolog (E. coli)
ENSG00000133835	HSD17B4	DBP,MFE-2,SDR8C1	hydroxysteroid (17-beta) dehydrogenase 4
ENSG00000185122	HSF1	HSTF1	heat shock transcription factor 1
ENSG00000166598	HSP90B1	GP96,GRP94,TRA1	heat shock protein 90kDa beta (Grp94), member 1
ENSG00000155304	HSPA13	STCH	heat shock protein 70kDa family, member 13
ENSG00000126803	HSPA2		heat shock 70kDa protein 2
ENSG00000170606	HSPA4	hsp70,RY	heat shock 70kDa protein 4
ENSG00000113013	HSPA9	GRP75,HSPA9B,mot-2,mthsp75,PBP74	heat shock 70kDa protein 9 (mortalin)
ENSG00000144381	HSPD1	GROEL,HSP60,SPG13	heat shock 60kDa protein 1 (chaperonin)
ENSG00000115541	HSPE1	CPN10,GROES	heat shock 10kDa protein 1 (chaperonin 10)
ENSG00000109854	HTATIP2	CC3,FLJ26963,SDR44U1,TIP30	HIV-1 Tat interactive protein 2, 30kDa
ENSG00000147246	HTR2C	5-HT2C,HTR1C	5-hydroxytryptamine (serotonin) receptor 2C
ENSG00000170801	HTRA3	Prsp,Tasp	HtrA serine peptidase 3
ENSG00000086758	HUWE1	Ib772,KIAA0312,UREB1	HECT, UBA and WWE domain containing 1
ENSG00000005700	IBTK	BTKI,DKFZP564B116	inhibitor of Bruton agammaglobulinemia tyrosine kinase
ENSG00000182054	IDH2		isocitrate dehydrogenase 2 (NADP+), mitochondrial
ENSG00000185885	IFITM1	9-27,CD225,IFI17	interferon induced transmembrane protein 1 (9-27)
ENSG00000159217	IGF2BP1	IMP-1	insulin-like growth factor 2 mRNA binding protein 1
ENSG00000143466	IKBKE	IKK-i,IKKE,KIAA0151	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon
ENSG00000115604	IL18R1	CD218a,IL-1Rrp,IL1RRP	interleukin 18 receptor 1
ENSG00000136689	IL1RN	ICIL-1RA,IL1F3,IL1RA,IRAP	interleukin 1 receptor antagonist
ENSG00000185436	IL28RA	CRF2/12,IFNLR,IL-28R1	interleukin 28 receptor, alpha (interferon, lambda receptor)
ENSG00000185291	IL3RA	CD123	interleukin 3 receptor, alpha (low affinity)
ENSG00000091181	IL5RA	CD125,CDw125,IL5R	interleukin 5 receptor, alpha
ENSG00000143621	ILF2	NF45	interleukin enhancer binding factor 2, 45kDa
ENSG00000129351	ILF3	DRBP76,MPHOSPH4,MPP4,NF90,NFAR-1	interleukin enhancer binding factor 3, 90kDa
ENSG00000132323	ILKAP	DKFZP434J2031,FLJ10181	integrin-linked kinase-associated serine/threonine phosphatase 2C
ENSG00000132305	IMMT	HMP,P87,P89	inner membrane protein, mitochondrial
ENSG00000104331	IMPAD1	FLJ20421,IMPA3	inositol monophosphatase domain containing 1
ENSG00000178035	IMPDH2		IMP (inosine 5'-monophosphate) dehydrogenase 2
ENSG00000148798	INA	NEF5,NF-66	internexin neuronal intermediate filament protein, alpha
ENSG00000168556	ING2	ING1L,p33ING2	inhibitor of growth family, member 2
ENSG00000068383	INPP5A	5PTASE	inositol polyphosphate-5-phosphatase, 40kDa
ENSG00000198001	IRAK4	NY-REN-64	interleukin-1 receptor-associated kinase 4
ENSG00000240682	ISY1	fSAP33,KIAA1160	ISY1 splicing factor homolog (S. cerevisiae)
ENSG00000078747	ITCH	AIP4	itchy E3 ubiquitin protein ligase homolog (mouse)
ENSG00000129636	ITFG1	CDA08,TIP	integrin alpha FG-GAP repeat containing 1
ENSG00000135424	ITGA7		integrin, alpha 7
ENSG00000150093	ITGB1	CD29,FNRB,GPIIA,MDF2,MSK12	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)
ENSG00000125877	ITPA	C20orf37,dJ794I6.3,HLC14-06-P	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)
ENSG00000070495	JMJD6	KIAA0585,PTDSR,PTDSR1	jumonji domain containing 6
ENSG00000177606	JUN	AP-1,c-Jun	jun oncogene
ENSG00000151079	KCNA6	HBK2,Kv1.6	potassium voltage-gated channel, shaker-related subfamily, member 6
ENSG00000171385	KCND3	KSHIVB,Kv4.3	potassium voltage-gated channel, Shal-related subfamily, member 3
ENSG00000120457	KCNJ5	CIR,GIRK4,KATP1,Kir3.4	potassium inwardly-rectifying channel, subfamily J, member 5
ENSG00000099337	KCNK6	K2p6.1,TWIK-2	potassium channel, subfamily K, member 6
ENSG00000171121	KCNMB3	KCNMB2,KCNMBL	potassium large conductance calcium-activated channel, subfamily M beta member 3
ENSG00000110906	KCTD10	MSTP028	potassium channel tetramerisation domain containing 10
ENSG00000136636	KCTD3	NY-REN-45	potassium channel tetramerisation domain containing 3
ENSG00000173120	KDM2A	CXXC8,DKFZP434M1735,FBL11,FBL7,FBXL11,FLJ00115,JHDM1A,KIAA1004,LILINA	lysine (K)-specific demethylase 2A
ENSG00000080608	KIAA0020	PEN,PUF6,XTP5	KIAA0020
ENSG00000242802	KIAA0415		KIAA0415
ENSG00000159658	KIAA0494		KIAA0494
ENSG00000135709	KIAA0513		KIAA0513
ENSG00000198920	KIAA0753		KIAA0753
ENSG00000158941	KIAA1967	DBC-1,DBC1,NET35	KIAA1967
ENSG00000138160	KIF11	Eg5,HKSP,KNSL1,TRIP5	kinesin family member 11
ENSG00000136883	KIF12		kinesin family member 12
ENSG00000129250	KIF1C		kinesin family member 1C
ENSG00000116852	KIF21B	DKFZP434J212,KIAA0449	kinesin family member 21B
ENSG00000142945	KIF2C	KNSL6,MCAK	kinesin family member 2C
ENSG00000101350	KIF3B	KIAA0359	kinesin family member 3B
ENSG00000134962	KLB		klotho beta
ENSG00000197776	KLHDC1	MST025	kelch domain containing 1
ENSG00000124702	KLHDC3	dJ20C7.3,hPeas,PEAS	kelch domain containing 3
ENSG00000076321	KLHL20	KHLHX,KLEIP	kelch-like 20 (Drosophila)
ENSG00000172578	KLHL6	FLJ00029	kelch-like 6 (Drosophila)
ENSG00000188883	KLRG2	CLEC15B,FLJ44186	killer cell lectin-like receptor subfamily G, member 2
ENSG00000182481	KPNA2	IPOA1,QIP2,RCH1,SRP1alpha	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)
ENSG00000133619	KRBA1	KIAA1862	KRAB-A domain containing 1
ENSG00000171346	KRT15	CK15,K15,K1CO	keratin 15
ENSG00000167916	KRT24	FLJ20261,MGC138169,MGC138173	keratin 24
ENSG00000171403	KRT9	CK-9,EPPK,K9	keratin 9
ENSG00000126777	KTN1	CG1,KIAA0004	kinectin 1 (kinesin receptor)
ENSG00000135537	LACE1	AFG1	lactation elevated 1
ENSG00000091136	LAMB1	CLM	laminin, beta 1
ENSG00000135862	LAMC1	LAMB2	laminin, gamma 1 (formerly LAMB2)
ENSG00000185896	LAMP1	CD107a	lysosomal-associated membrane protein 1
ENSG00000161904	LEMD2	dJ482C21.1,NET25	LEM domain containing 2
ENSG00000090530	LEPREL1	FLJ10718,MLAT4,P3H2	leprecan-like 1
ENSG00000168924	LETM1		leucine zipper-EF-hand containing transmembrane protein 1
ENSG00000100097	LGALS1	GBP	lectin, galactoside-binding, soluble, 1
ENSG00000139292	LGR5	FEX,GPR49,GPR67,HG38	leucine-rich repeat-containing G protein-coupled receptor 5
ENSG00000050405	LIMA1	EPLIN	LIM domain and actin binding 1
ENSG00000073350	LLGL2	HGL	lethal giant larvae homolog 2 (Drosophila)
ENSG00000105983	LMBR1	ACHP,C7orf2,FLJ11665	limb region 1 homolog (mouse)
ENSG00000185621	LMLN	Gp63,Msp	leishmanolysin-like (metallopeptidase M8 family)
ENSG00000160789	LMNA	CMD1A,HGPS,LGMD1B,LMN1,LMNL1,PRO1	lamin A/C
ENSG00000196365	LONP1	hLON,LonHS,PIM1,PRSS15	lon peptidase 1, mitochondrial
ENSG00000171517	LPAR3	Edg-7,EDG7,HOFNH30,LP-A3,LPA3,RP4-678I3	lysophosphatidic acid receptor 3
ENSG00000153395	LPCAT1	AYTL2,FLJ12443	lysophosphatidylcholine acyltransferase 1
ENSG00000186001	LRCH3	MGC4126	leucine-rich repeats and calponin homology (CH) domain containing 3
ENSG00000156564	LRFN2	FIGLER2,KIAA1246,SALM1	leucine rich repeat and fibronectin type III domain containing 2
ENSG00000163956	LRPAP1	A2MRAP,HBP44	low density lipoprotein receptor-related protein associated protein 1
ENSG00000141294	LRRC46	MGC16309	leucine rich repeat containing 46
ENSG00000130764	LRRC47	KIAA1185,RP1-286D6.3	leucine rich repeat containing 47
ENSG00000198739	LRRTM3		leucine rich repeat transmembrane neuronal 3
ENSG00000148356	LRSAM1	FLJ31641	leucine rich repeat and sterile alpha motif containing 1
ENSG00000111144	LTA4H		leukotriene A4 hydrolase
ENSG00000108848	LUC7L3	CRA,CREAP-1,CROP,FLJ11063,hLuc7A,LUC7A,OA48-18	LUC7-like 3 (S. cerevisiae)
ENSG00000180155	LYNX1	SLURP2	Ly6/neurotoxin 1
ENSG00000061337	LZTS1	FEZ1	leucine zipper, putative tumor suppressor 1
ENSG00000183742	MACC1	7A5,SH3BP4L	metastasis associated in colon cancer 1
ENSG00000002822	MAD1L1	HsMAD1,MAD1,PIG9,TP53I9,TXBP181	MAD1 mitotic arrest deficient-like 1 (yeast)
ENSG00000204103	MAFB	KRML	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
ENSG00000162385	MAGOH	MAGOH1,MAGOHA	mago-nashi homolog, proliferation-associated (Drosophila)
ENSG00000135040	MAK10	bA379P1.1,FLJ21613,FLJ22643,MAK10,NAA35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit
ENSG00000107968	MAP3K8	c-COT,COT,EST,ESTF,MEKK8,Tpl-2	mitogen-activated protein kinase kinase kinase 8
ENSG00000100030	MAPK1	ERK,ERK2,MAPK2,p41mapk,PRKM1,PRKM2	mitogen-activated protein kinase 1
ENSG00000156711	MAPK13	p38delta,PRKM13,SAPK4	mitogen-activated protein kinase 13
ENSG00000101367	MAPRE1	EB1	microtubule-associated protein, RP/EB family, member 1
ENSG00000173838	MARCH10	FLJ35757,MARCH-X,RNF190	membrane-associated ring finger (C3HC4) 10
ENSG00000136536	MARCH7	AXOT,MARCH-VII,RNF177	membrane-associated ring finger (C3HC4) 7
ENSG00000166986	MARS	MetRS	methionyl-tRNA synthetase
ENSG00000125952	MAX	bHLHd4,bHLHd5,bHLHd6,bHLHd7,bHLHd8	MYC associated factor X
ENSG00000071655	MBD3		methyl-CpG binding domain protein 3
ENSG00000129071	MBD4	MED1	methyl-CpG binding domain protein 4
ENSG00000143797	MBOAT2	FLJ14415,FLJ90298,OACT2	membrane bound O-acyltransferase domain containing 2
ENSG00000104738	MCM4	CDC21,CDC54,hCdc21,MGC33310,P1-Cdc21	minichromosome maintenance complex component 4
ENSG00000100297	MCM5	CDC46	minichromosome maintenance complex component 5
ENSG00000076003	MCM6	Mis5	minichromosome maintenance complex component 6
ENSG00000166508	MCM7	CDC47,MCM2	minichromosome maintenance complex component 7
ENSG00000147316	MCPH1	BRIT1,FLJ12847	microcephalin 1
ENSG00000137337	MDC1	Em:AB023051.5,KIAA0170,NFBD1	Mediator of DNA damage checkpoint protein 1 (Nuclear factor with BRCT domains 1)
ENSG00000146701	MDH2		malate dehydrogenase 2, NAD (mitochondrial)
ENSG00000135679	MDM2	HDM2,HDMX,MGC5370	Mdm2 p53 binding protein homolog (mouse)
ENSG00000213920	MDP1	FN6Pase,MGC5987	magnesium-dependent phosphatase 1
ENSG00000116353	MECR	CGI-63,FASN2B,NRBF1	mitochondrial trans-2-enoyl-CoA reductase
ENSG00000184634	MED12	CAGH45,HOPA,KIAA0192,OPA1,TNRC11,TRAP230	mediator complex subunit 12
ENSG00000152944	MED21	SRB7,SURB7	mediator complex subunit 21
ENSG00000136146	MED4	DRIP36,HSPC126,TRAP36,VDRIP	mediator complex subunit 4
ENSG00000116604	MEF2D		myocyte enhancer factor 2D
ENSG00000111142	METAP2	MAP2,MNPEP,p67	methionyl aminopeptidase 2
ENSG00000127804	METT10D	MGC3329	methyltransferase 10 domain containing
ENSG00000037897	METTL1	C12orf1,TRM8	methyltransferase like 1
ENSG00000148335	METTL11A	AD-003,C9orf32	methyltransferase like 11A
ENSG00000074416	MGLL	HU-K5,MGL	monoglyceride lipase
ENSG00000155438	MKI67IP	NIFK,Nopp34	MKI67 (FHA domain) interacting nucleolar phosphoprotein
ENSG00000186260	MKL2	FLJ31823,MRTF-B	MKL/myocardin-like 2
ENSG00000099875	MKNK2	GPRK7,MNK2	MAP kinase interacting serine/threonine kinase 2
ENSG00000089693	MLF2	NTN4	myeloid leukemia factor 2
ENSG00000076242	MLH1	COCA2,FCC2,HNPCC,HNPCC2	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)
ENSG00000175727	MLXIP	bHLHe36,KIAA0867,MIR,MONDOA	MLX interacting protein
ENSG00000196549	MME	CALLA,CD10,NEP	membrane metallo-endopeptidase
ENSG00000142606	MMEL1	MMEL2,NEPII,NL1,NL2,SEP	membrane metallo-endopeptidase-like 1
ENSG00000149968	MMP3	STMY,STMY1	matrix metallopeptidase 3 (stromelysin 1, progelatinase)
ENSG00000118113	MMP8	CLG1	matrix metallopeptidase 8 (neutrophil collagenase)
ENSG00000020426	MNAT1	MAT1,RNF66	menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)
ENSG00000107186	MPDZ	MUPP1	multiple PDZ domain protein
ENSG00000103152	MPG	MDG	N-methylpurine-DNA glycosylase
ENSG00000105926	MPP6	p55T,PALS2,VAM-1	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)
ENSG00000133030	MPRIP	M-RIP,p116Rip,RHOIP3	myosin phosphatase Rho interacting protein
ENSG00000135324	MRAP2	bA51G5.2,C6orf117	melanocortin 2 receptor accessory protein 2
ENSG00000020922	MRE11A	ATLD,MRE11	MRE11 meiotic recombination 11 homolog A (S. cerevisiae)
ENSG00000129282	MRM1	FLJ22578	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)
ENSG00000183093	MRPL12	MRPL7,MRPL7/L12,RPML12	mitochondrial ribosomal protein L12
ENSG00000112110	MRPL18	HSPC071	mitochondrial ribosomal protein L18
ENSG00000112651	MRPL2	CGI-22,MRP-L14,RPML14	mitochondrial ribosomal protein L2
ENSG00000204316	MRPL38	HSPC262,MGC4810,MRP-L3,RPML3	mitochondrial ribosomal protein L38
ENSG00000185608	MRPL40	MRP-L22,NLVCF	mitochondrial ribosomal protein L40
ENSG00000182154	MRPL41	BMRP,MRP-L27,MRPL27,PIG3,RPML27	mitochondrial ribosomal protein L41
ENSG00000174100	MRPL45	MGC11321	mitochondrial ribosomal protein L45
ENSG00000136897	MRPL50	FLJ20493,MRP-L50	mitochondrial ribosomal protein L50
ENSG00000162910	MRPL55		mitochondrial ribosomal protein L55
ENSG00000048544	MRPS10	FLJ10567	mitochondrial ribosomal protein S10
ENSG00000175110	MRPS22	C3orf5,GIBT,GK002,MRP-S22	mitochondrial ribosomal protein S22
ENSG00000181610	MRPS23	CGI-138,HSPC329,MRP-S23	mitochondrial ribosomal protein S23
ENSG00000112996	MRPS30	PAP,PDCD9	mitochondrial ribosomal protein S30
ENSG00000125445	MRPS7	MRP-S,RP-S7,RPMS7	mitochondrial ribosomal protein S7
ENSG00000166927	MS4A7	CD20L4,CFFM4,MS4A8	membrane-spanning 4-domains, subfamily A, member 7
ENSG00000116062	MSH6	GTBP	mutS homolog 6 (E. coli)
ENSG00000153944	MSI2		musashi homolog 2 (Drosophila)
ENSG00000188895	MSL1	DKFZp686P24239,hMSL1,MSL-1	male-specific lethal 1 homolog (Drosophila)
ENSG00000147065	MSN		moesin
ENSG00000175806	MSRA		methionine sulfoxide reductase A
ENSG00000174099	MSRB3	DKFZp686C1178,FLJ36866	methionine sulfoxide reductase B3
ENSG00000164078	MST1R	CD136,CDw136,PTK8,RON	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
ENSG00000205362	MT1A	MT1,MT1S	metallothionein 1A
ENSG00000149480	MTA2	MTA1-L1,MTA1L1	metastasis associated 1 family, member 2
ENSG00000147649	MTDH	3D3,AEG-1,LYRIC	metadherin
ENSG00000100714	MTHFD1	MTHFC,MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
ENSG00000120254	MTHFD1L	DKFZP586G1517,FLJ21145,FTHFSDC1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
ENSG00000173171	MTX1	MTX,MTXN	metaxin 1
ENSG00000185499	MUC1	CD227,PEM,PUM	mucin 1, cell surface associated
ENSG00000090432	MUL1	C1orf166,FLJ12875,GIDE,MAPL,MULAN,RNF218	mitochondrial E3 ubiquitin ligase 1
ENSG00000157502	MUM1L1	FLJ33516	melanoma associated antigen (mutated) 1-like 1
ENSG00000013364	MVP	LRP,VAULT1	major vault protein
ENSG00000104177	MYEF2	FLJ11213,HsT18564,KIAA1341,MEF-2	myelin expression factor 2
ENSG00000100345	MYH9	DFNA17,EPSTS,FTNS,MHA,NMHC-II-A,NMMHCA	myosin, heavy chain 9, non-muscle
ENSG00000106436	MYL10	MGC3479,MYLC2PL,PLRLC	myosin, light chain 10, regulatory
ENSG00000101608	MYL12A	MLCB,MRCL3,MRLC3,MYL2B	myosin, light chain 12A, regulatory, non-sarcomeric
ENSG00000111245	MYL2	CMH10	myosin, light chain 2, regulatory, cardiac, slow
ENSG00000196535	MYO18A	KIAA0216,MysPDZ	myosin XVIIIA
ENSG00000141140	MYO19	FLJ22865,MYOHD1	myosin XIX
ENSG00000138119	MYOF	FER1L3,KIAA1207	myoferlin
ENSG00000036448	MYOM2		myomesin (M-protein) 2, 165kDa
ENSG00000142661	MYOM3	FLJ35961	myomesin family, member 3
ENSG00000160877	NACC1	BEND8,BTBD14B,NAC-1,NAC1	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing
ENSG00000095380	NANS	SAS	N-acetylneuraminic acid synthase
ENSG00000134265	NAPG		N-ethylmaleimide-sensitive factor attachment protein, gamma
ENSG00000124151	NCOA3	ACTR,AIB1,bHLHe42,CAGH16,KAT13B,p/CIP,RAC3,SRC-3,SRC3,TNRC16,TRAM-1	nuclear receptor coactivator 3
ENSG00000104419	NDRG1	CAP43,DRG1,NDR1,RTP,TDD5	N-myc downstream regulated 1
ENSG00000160194	NDUFV3	CI-10k	NADH dehydrogenase (ubiquinone) flavoprotein 3, 10kDa
ENSG00000123119	NECAB1	EFCBP1	N-terminal EF-hand calcium binding protein 1
ENSG00000114904	NEK4	NRK2,pp12301,STK2	NIMA (never in mitosis gene a)-related kinase 4
ENSG00000204386	NEU1	NEU	Sialidase-1 Precursor (EC 3.2.1.18)(Lysosomal sialidase)(N-acetyl-alpha-neuraminidase 1)(Acetylneuraminyl hydrolase)(G9 sialidase)
ENSG00000162614	NEXN	NELIN,nexilin	nexilin (F actin binding protein)
ENSG00000186575	NF2	merlin	neurofibromin 2 (merlin)
ENSG00000072736	NFATC3	NFAT4,NFATX	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3
ENSG00000077150	NFKB2	LYT-10,p52	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
ENSG00000100906	NFKBIA	IkappaBalpha,IKBA,MAD-3,NFKBI	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
ENSG00000146232	NFKBIE	IKBE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon
ENSG00000120837	NFYB	CBF-A,HAP3,NF-YB	nuclear transcription factor Y, beta
ENSG00000129460	NGDN	C14orf120,DKFZP564O092,LCP5,lpd-2,NGD	neuroguidin, EIF4E binding protein
ENSG00000166681	NGFRAP1	Bex,BEX3,DXS6984E,HGR74,NADE	nerve growth factor receptor (TNFRSF16) associated protein 1
ENSG00000109705	NKX3-2	BAPX1,NKX3.2,NKX3B	NK3 homeobox 2
ENSG00000239672	NME1	NM23,NM23-H1	non-metastatic cells 1, protein (NM23A) expressed in
ENSG00000011052	NME1-NME2	NM23-LV,NMELV	NME1-NME2 readthrough
ENSG00000157064	NMNAT2	C1orf15,KIAA0479,PNAT2	nicotinamide nucleotide adenylyltransferase 2
ENSG00000136448	NMT1	NMT	N-myristoyltransferase 1
ENSG00000130935	NOL11	DKFZP586L0724	nucleolar protein 11
ENSG00000225921	NOL7	C6orf90,dJ223E5.2,NOP27,PQBP3,RARG-1	nucleolar protein 7, 27kDa
ENSG00000147140	NONO	NMT55,NRB54,P54,P54NRB	non-POU domain containing, octamer-binding
ENSG00000055044	NOP58	HSPC120,NOP5	NOP58 ribonucleoprotein homolog (yeast)
ENSG00000170485	NPAS2	bHLHe9,MOP4,PASD4	neuronal PAS domain protein 2
ENSG00000119655	NPC2	EDDM1,HE1,NP-C2	Niemann-Pick disease, type C2
ENSG00000182446	NPLOC4	FLJ20657,KIAA1499,NPL4	nuclear protein localization 4 homolog (S. cerevisiae)
ENSG00000181163	NPM1	B23,NPM	nucleophosmin (nucleolar phosphoprotein B23, numatrin)
ENSG00000164129	NPY5R	NPYR5	neuropeptide Y receptor Y5
ENSG00000181019	NQO1	DHQU,DIA4,DTD,NMOR1,QR1	NAD(P)H dehydrogenase, quinone 1
ENSG00000113580	NR3C1	GR,GRL	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
ENSG00000151623	NR3C2	MLR,MR	nuclear receptor subfamily 3, group C, member 2
ENSG00000198435	NRARP	MGC61598	NOTCH-regulated ankyrin repeat protein
ENSG00000073969	NSF	SKD2	N-ethylmaleimide-sensitive factor
ENSG00000130305	NSUN5	(NOL1),FLJ10267,NOL1R,NSUN5A,p120,WBSCR20,WBSCR20A,Ynl022cL	NOP2/Sun domain family, member 5
ENSG00000179299	NSUN7	FLJ14001	NOP2/Sun domain family, member 7
ENSG00000125458	NT5C	cdN,DNT-1,DNT1,PN-I,UMPH2	5', 3'-nucleotidase, cytosolic
ENSG00000076685	NT5C2	cN-II,GMP,NT5B,PNT5	5'-nucleotidase, cytosolic II
ENSG00000135318	NT5E	CD73,eN,eNT,NT5	5'-nucleotidase, ecto (CD73)
ENSG00000148053	NTRK2	TRKB	neurotrophic tyrosine kinase, receptor, type 2
ENSG00000163545	NUAK2	FLJ90349,SNARK	NUAK family, SNF1-like kinase, 2
ENSG00000015676	NUDCD3	KIAA1068	NudC domain containing 3
ENSG00000106268	NUDT1	MTH1	nudix (nucleoside diphosphate linked moiety X)-type motif 1
ENSG00000137497	NUMA1		nuclear mitotic apparatus protein 1
ENSG00000133961	NUMB		numb homolog (Drosophila)
ENSG00000124789	NUP153	HNUP153	nucleoporin 153kDa
ENSG00000120253	NUP43	bA350J20.1,FLJ13287	nucleoporin 43kDa
ENSG00000213024	NUP62	DKFZp547L134,FLJ20822,FLJ43869,IBSN,MGC841,p62,SNDI	nucleoporin 62kDa
ENSG00000108559	NUP88	MGC8530	nucleoporin 88kDa
ENSG00000162231	NXF1	DKFZp667O0311,Mex67,TAP	nuclear RNA export factor 1
ENSG00000185554	NXF2	CT39,TAPL-2	nuclear RNA export factor 2
ENSG00000185945	NXF2B	bA353J17.1	nuclear RNA export factor 2B
ENSG00000126952	NXF5		nuclear RNA export factor 5
ENSG00000154358	OBSCN	ARHGEF30,KIAA1556,KIAA1639,UNC89	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
ENSG00000122126	OCRL	OCRL1	oculocerebrorenal syndrome of Lowe
ENSG00000105953	OGDH	E1k	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)
ENSG00000087263	OGFOD1	FLJ10826,KIAA1612,TPA1	2-oxoglutarate and iron-dependent oxygenase domain containing 1
ENSG00000177468	OLIG3	Bhlhb7,bHLHe20	oligodendrocyte transcription factor 3
ENSG00000164815	ORC5L	ORC5,Orc5p,ORC5T	origin recognition complex, subunit 5-like (yeast)
ENSG00000184792	OSBP2	KIAA1664,ORP-4,ORP4,OSBPL1	oxysterol binding protein 2
ENSG00000155100	OTUD6B	CGI-77,DUBA5	OTU domain containing 6B
ENSG00000151093	OXSM	FASN2D,FLJ20604,KS	3-oxoacyl-ACP synthase, mitochondrial
ENSG00000172939	OXSR1	KIAA1101,OSR1	oxidative-stress responsive 1
ENSG00000122884	P4HA1	C-P4Halpha(I),P4HA	prolyl 4-hydroxylase, alpha polypeptide I
ENSG00000185624	P4HB	DSI,ERBA2L,GIT,P4Hbeta,PDI,PDIA1,PO4DB,PO4HB,PROHB	prolyl 4-hydroxylase, beta polypeptide
ENSG00000178467	P4HTM	EGLN4,FLJ20262,HIFPH4,P4H-TM,PH-4,PH4,PHD4	prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)
ENSG00000170515	PA2G4		proliferation-associated 2G4, 38kDa
ENSG00000157881	PANK4	FLJ10782	pantothenate kinase 4
ENSG00000090060	PAPOLA	PAP	poly(A) polymerase alpha
ENSG00000140694	PARN	DAN	poly(A)-specific ribonuclease (deadenylation nuclease)
ENSG00000178685	PARP10	FLJ14464	poly (ADP-ribose) polymerase family, member 10
ENSG00000173193	PARP14	KIAA1268,pART8	poly (ADP-ribose) polymerase family, member 14
ENSG00000115687	PASK	KIAA0135,PASKIN,STK37	PAS domain containing serine/threonine kinase
ENSG00000106331	PAX4	MODY9	paired box 4
ENSG00000168078	PBK	CT84,FLJ14385,Nori-3,SPK,TOPK	PDZ binding kinase
ENSG00000138650	PCDH10	KIAA1400,OL-PCDH	protocadherin 10
ENSG00000189184	PCDH18	KIAA1562,PCDH68L	protocadherin 18
ENSG00000081818	PCDHB4	PCDH-BETA4	protocadherin beta 4
ENSG00000081853	PCDHGA12	CDH21,FIB3,KIAA0327,KIAA0588,ME6,PCDH-GAMMA-A10,PCDH-GAMMA-A11,PCDH-GAMMA-A12,PCDH-GAMMA-A2,PCDH-GAMMA-A3,PCDH-GAMMA-A8,PCDH-GAMMA-B7,PCDHGA10,PCDHGA11,PCDHGA2,PCDHGA3,PCDHGA8,PCDHGB7	protocadherin gamma subfamily A, 12
ENSG00000240184	PCDHGC3	PC-43,PC43,PCDH-GAMMA-C3,PCDH2	protocadherin gamma subfamily C, 3
ENSG00000242419	PCDHGC4	PCDH-GAMMA-C4	protocadherin gamma subfamily C, 4
ENSG00000240764	PCDHGC5	PCDH-GAMMA-C5	protocadherin gamma subfamily C, 5
ENSG00000124253	PCK1	PEPCK-C	phosphoenolpyruvate carboxykinase 1 (soluble)
ENSG00000078674	PCM1	PTC4	pericentriolar material 1
ENSG00000132646	PCNA	PCNAAS	PCNA antisense RNA (non-protein coding)
ENSG00000185813	PCYT2	ET	phosphate cytidylyltransferase 2, ethanolamine
ENSG00000116703	PDC	MEKA	phosducin
ENSG00000148843	PDCD11	ALG-4,KIAA0185	programmed cell death 11
ENSG00000170248	PDCD6IP	AIP1,Alix,Hp95	programmed cell death 6 interacting protein
