Negative
ENSG00000175899	A2M	CPAMD5,FWP007,S863-7	alpha-2-macroglobulin
ENSG00000064300	NGFR	CD271,p75NTR,TNFRSF16	nerve growth factor receptor
ENSG00000162711	NLRP3	AGTAVPRL,AII,AVP,C1orf7,CIAS1,CLR1.1,FCAS,FCU,MWS,NALP3,PYPAF1	NLR family, pyrin domain containing 3
ENSG00000112992	NNT		nicotinamide nucleotide transhydrogenase
ENSG00000053702	NRIP2	DKFZP761G1913	nuclear receptor interacting protein 2
ENSG00000197822	OCLN		occludin
ENSG00000126861	OMG	OMGP	oligodendrocyte myelin glycoprotein
ENSG00000036473	OTC		ornithine carbamoyltransferase
ENSG00000159339	PADI4	PAD,PADI5,PDI4,PDI5	peptidyl arginine deiminase, type IV
ENSG00000068985	PAGE1	CT16.3,GAGE-9,GAGEB1,PAGE-1	P antigen family, member 1 (prostate associated)
ENSG00000182752	PAPPA	ASBABP2,DIPLA1,IGFBP-4ase,PAPA,PAPP-A,PAPPA1	pregnancy-associated plasma protein A, pappalysin 1
ENSG00000166049	PASD1	CT63	PAS domain containing 1
ENSG00000185630	PBX1		pre-B-cell leukemia homeobox 1
ENSG00000150593	PDCD4	H731	programmed cell death 4 (neoplastic transformation inhibitor)
ENSG00000112378	PERP	dJ496H19.1,KCP1,KRTCAP1,PIGPC1,THW	PERP, TP53 apoptosis effector
ENSG00000182405	PGBD4	FLJ32638,FLJ37497	piggyBac transposable element derived 4
ENSG00000082175	PGR	NR3C3,PR	progesterone receptor
ENSG00000164776	PHKG1	PHKG	phosphorylase kinase, gamma 1 (muscle)
ENSG00000087111	PIGS		phosphatidylinositol glycan anchor biosynthesis, class S
ENSG00000102096	PIM2		pim-2 oncogene
ENSG00000159763	PIP	GCDFP-15,GCDFP15,GPIP4	prolactin-induced protein
ENSG00000104368	PLAT		plasminogen activator, tissue
ENSG00000149527	PLCH2	KIAA0450,PLC-eta2,PLCeta2,PLCL4,RP3-395M20.1	phospholipase C, eta 2
ENSG00000122194	PLG		plasminogen
ENSG00000123560	PLP1	PLP,SPG2	proteolipid protein 1
ENSG00000176903	PNMA1	MA1	paraneoplastic antigen MA1
ENSG00000105852	PON3		paraoxonase 3
ENSG00000186298	PPP1CC	PP1gamma	protein phosphatase 1, catalytic subunit, gamma isozyme
ENSG00000167641	PPP1R14A	CPI-17,PPP1INL	protein phosphatase 1, regulatory (inhibitor) subunit 14A
ENSG00000160310	PRMT2	HRMT1L1,MGC111373	protein arginine methyltransferase 2
ENSG00000171867	PRNP	CD230,CJD,GSS,PRIP,PRP	prion protein
ENSG00000007062	PROM1	AC133,CD133,MCDR2,PROML1,RP41,STGD4	prominin 1
ENSG00000167371	PRRT2	DKFZp547J199,FLJ25513,IFITMD1	proline-rich transmembrane protein 2
ENSG00000185198	PRSS57	PRSSL1,UNQ782	protease, serine, 57
ENSG00000196415	PRTN3	ACPA,AGP7,C-ANCA,MBT,P29,PR-3	proteinase 3
ENSG00000125818	PSMF1	PI31	proteasome (prosome, macropain) inhibitor subunit 1 (PI31)
ENSG00000107317	PTGDS	L-PGDS,PGDS	prostaglandin D2 synthase 21kDa (brain)
ENSG00000112245	PTP4A1	PRL-1,PTPCAAX1	protein tyrosine phosphatase type IVA, member 1
ENSG00000184489	PTP4A3	PRL-3,PRL-R,PRL3	protein tyrosine phosphatase type IVA, member 3
ENSG00000111679	PTPN6	HCP,HCPH,PTP-1C,SHP-1,SHP1	protein tyrosine phosphatase, non-receptor type 6
ENSG00000081237	PTPRC	CD45,GP180,LCA,T200	protein tyrosine phosphatase, receptor type, C
ENSG00000131096	PYY	PYY1	peptide YY
ENSG00000169213	RAB3B		RAB3B, member RAS oncogene family
ENSG00000133321	RARRES3	HRASLS4,TIG3	retinoic acid receptor responder (tazarotene induced) 3
ENSG00000089050	RBBP9	Bog	retinoblastoma binding protein 9
ENSG00000138207	RBP4		retinol binding protein 4, plasma
ENSG00000102032	RENBP	RBP,RNBP	renin binding protein
ENSG00000169891	REPS2	POB1	RALBP1 associated Eps domain containing 2
ENSG00000092871	RFFL	fring,rififylin,RNF189,RNF34L	ring finger and FYVE-like domain containing 1
ENSG00000131721	RHOXF2	CT107,PEPP-2,PEPP2,THG1	Rhox homeobox family, member 2
ENSG00000203989	RHOXF2B		Rhox homeobox family, member 2B
ENSG00000129538	RNASE1	RNS1	ribonuclease, RNase A family, 1 (pancreatic)
ENSG00000169385	RNASE2	EDN,RNS2	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)
ENSG00000214279	RP11-108K14.4		Putative scavenger receptor cysteine-rich domain-containing protein LOC619207
ENSG00000170476	RP11-1280I22.1		Plasma cell-induced resident endoplasmic reticulum protein
ENSG00000250423	RP13-347D8.6		Uncharacterized protein KIAA1210
ENSG00000102218	RP2	NME10,TBCCD2	retinitis pigmentosa 2 (X-linked recessive)
ENSG00000250424	RP5-877J2.1		Uncharacterized proteincDNA FLJ51453, highly similar to Aquaporin-1
ENSG00000250349	RP5-972B16.2		Uncharacterized proteincDNA FLJ59144, highly similar to Tetraspanin-7
ENSG00000196154	S100A4	18A2,42A,CAPL,FSP1,MTS1,P9KA,PEL98	S100 calcium binding protein A4
ENSG00000143556	S100A7	PSOR1,S100A7c	S100 calcium binding protein A7
ENSG00000184330	S100A7A	S100A15,S100A7f,S100A7L1	S100 calcium binding protein A7A
ENSG00000143546	S100A8	60B8AG,CAGA,CFAG,CGLA,MRP8,P8	S100 calcium binding protein A8
ENSG00000163220	S100A9	60B8AG,CAGB,CFAG,CGLB,LIAG,MAC387,MIF,MRP14,NIF,P14	S100 calcium binding protein A9
ENSG00000160307	S100B	S100beta	S100 calcium binding protein B
ENSG00000101115	SALL4	dJ1112F19.1,ZNF797	sal-like 4 (Drosophila)
ENSG00000122122	SASH3	753P9,CXorf9,SH3D6C,SLY	SAM and SH3 domain containing 3
ENSG00000166922	SCG5	7B2,SGNE1,SgV	secretogranin V (7B2 protein)
ENSG00000079689	SCGN	CALBL,DJ501N12.8,SECRET,SEGN	secretagogin, EF-hand calcium binding protein
ENSG00000080293	SCTR		secretin receptor
ENSG00000115884	SDC1	CD138,SDC,SYND1,syndecan	syndecan 1
ENSG00000143416	SELENBP1	hSBP,hSP56,LPSB	selenium binding protein 1
ENSG00000174175	SELP	CD62,CD62P,GMP140,GRMP,PADGEM,PSEL	selectin P (granule membrane protein 140kDa, antigen CD62)
ENSG00000138758	SEPT11	FLJ10849	septin 11
ENSG00000184702	SEPT5	H5,HCDCREL-1,PNUTL1	septin 5
ENSG00000125354	SEPT6	KIAA0128,MGC16619,MGC20339,SEP2,SEPT2	septin 6
ENSG00000164402	SEPT8	KIAA0202,SEP2	septin 8
ENSG00000197249	SERPINA1	A1A,A1AT,AAT,alpha-1-antitrypsin,alpha1AT,PI,PI1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1
ENSG00000196136	SERPINA3	AACT,ACT,alpha-1-antichymotrypsin	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
ENSG00000100665	SERPINA4	KAL,kallistatin,KLST,KST,PI4	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4
ENSG00000021355	SERPINB1	anti-elastase,EI,ELANH2,PI2	serpin peptidase inhibitor, clade B (ovalbumin), member 1
ENSG00000117601	SERPINC1	AT3,ATIII,MGC22579	serpin peptidase inhibitor, clade C (antithrombin), member 1
ENSG00000132386	SERPINF1	EPC-1,PEDF,PIG35	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1
ENSG00000149257	SERPINH1	CBP1,CBP2,colligen,HSP47,SERPINH2	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)
ENSG00000175793	SFN	YWHAS	stratifin
ENSG00000100092	SH3BP1	ARHGAP43	SH3-domain binding protein 1
ENSG00000110436	SLC1A2	EAAT2,GLT-1	solute carrier family 1 (glial high affinity glutamate transporter), member 2
ENSG00000083807	SLC27A5	ACSB,ACSVL6,FACVL3,FATP5,FLJ22987,VLACSR,VLCS-H2,VLCSH2	solute carrier family 27 (fatty acid transporter), member 5
ENSG00000158715	SLC45A3	IPCA-2,IPCA-6,IPCA-8,PCANAP2,PCANAP6,PCANAP8,prostein	solute carrier family 45, member 3
ENSG00000138074	SLC5A6	SMVT	solute carrier family 5 (sodium-dependent vitamin transporter), member 6
ENSG00000111700	SLCO1B3	OATP1B3,OATP8,SLC21A8	solute carrier organic anion transporter family, member 1B3
ENSG00000124107	SLPI	ALK1,ALP,BLPI,HUSI,HUSI-I,WAP4,WFDC4	secretory leukocyte peptidase inhibitor
ENSG00000077935	SMC1B	bK268H5,SMC1L2	structural maintenance of chromosomes 1B
ENSG00000132639	SNAP25	bA416N4.2,dJ1068F16.2,RIC-4,RIC4,SEC9,SNAP,SNAP-25	synaptosomal-associated protein, 25kDa
ENSG00000065609	SNAP91	AP180,CALM,KIAA0656	synaptosomal-associated protein, 91kDa homolog (mouse)
ENSG00000173267	SNCG	BCSG1,persyn,SR	synuclein, gamma (breast cancer-specific protein 1)
ENSG00000188817	SNTN	FLJ44379,S100AL	sentan, cilia apical structure protein
ENSG00000108018	SORCS1	sorCS1	sortilin-related VPS10 domain containing receptor 1
ENSG00000176887	SOX11		SRY (sex determining region Y)-box 11
ENSG00000197471	SPN	CD43,GPL115,LSN	sialophorin
ENSG00000070182	SPTB		spectrin, beta, erythrocytic
ENSG00000115306	SPTBN1		spectrin, beta, non-erythrocytic 1
ENSG00000017373	SRCIN1	KIAA1684,p140Cap,SNIP	SRC kinase signaling inhibitor 1
ENSG00000184895	SRY	TDF	sex determining region Y
ENSG00000172830	SSH3	FLJ10928,FLJ20515	slingshot homolog 3 (Drosophila)
ENSG00000073849	ST6GAL1	SIAT1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1
ENSG00000126561	STAT5A	MGF,STAT5	signal transducer and activator of transcription 5A
ENSG00000126549	STATH	STR	statherin
ENSG00000104375	STK3	KRS1,MST2	serine/threonine kinase 3
ENSG00000148175	STOM	BND7,EPB7,EPB72	stomatin
ENSG00000106089	STX1A	HPC-1,p35-1,STX1	syntaxin 1A (brain)
ENSG00000198203	SULT1C2	ST1C1,SULT1C1	sulfotransferase family, cytosolic, 1C, member 2
ENSG00000130540	SULT4A1	hBR-STL-1,SULTX3	sulfotransferase family 4A, member 1
ENSG00000165025	SYK		spleen tyrosine kinase
ENSG00000054654	SYNE2	DKFZP434H2235,KIAA1011,Nesprin-2,NUA,NUANCE,SYNE-2	spectrin repeat containing, nuclear envelope 2
ENSG00000102003	SYP		synaptophysin
ENSG00000075073	TACR2	NK2R,NKNAR,SKR,TAC2R	tachykinin receptor 2
ENSG00000085231	TAF9	AD-004,AK6,CGI-137,CINAP,MGC1603,MGC3647,MGC5067,TAF2G,TAFII31,TAFII32,TAFIID32	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa
ENSG00000149591	TAGLN	DKFZp686P11128,SM22,SMCC,TAGLN1,WS3-10	transgelin
ENSG00000158710	TAGLN2	HA1756,KIAA0120	transgelin 2
ENSG00000106638	TBL2	DKFZP43N024,WBSCR13,WS-betaTRP	transducin (beta)-like 2
ENSG00000185339	TCN2	D22S676,D22S750,TC2	transcobalamin II
ENSG00000131126	TEX101	CT131,MGC4766,SGRG	testis expressed 101
ENSG00000144043	TEX261	MGC32043,TEG-261	testis expressed 261
ENSG00000091513	TF	PRO1557,PRO2086	transferrin
ENSG00000137203	TFAP2A	AP-2,AP2TF,TFAP2	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
ENSG00000160182	TFF1	BCEI,D21S21,HP1.A,HPS2,pNR-2,pS2	trefoil factor 1
ENSG00000042832	TG	AITD3,TGN	thyroglobulin
ENSG00000105329	TGFB1	CED,DPD1,TGFB,TGFbeta	transforming growth factor, beta 1
ENSG00000178726	THBD	CD141	thrombomodulin
ENSG00000051596	THOC3	MGC5469,TEX1	THO complex 3
ENSG00000154096	THY1	CD90	Thy-1 cell surface antigen
ENSG00000151952	TMEM132D	KIAA1944,MOLT	transmembrane protein 132D
ENSG00000154646	TMPRSS15	ENTK,MGC133046,PRSS7	transmembrane protease, serine 15
ENSG00000166682	TMPRSS5	MGC141886,MGC148044	transmembrane protease, serine 5
ENSG00000159958	TNFRSF13C	BAFFR,CD268	tumor necrosis factor receptor superfamily, member 13C
ENSG00000130595	TNNT3	AMCD2B,DA2B,DKFZp779M2348,FSSV	troponin T type 3 (skeletal, fast)
ENSG00000141510	TP53	LFS1,p53	tumor protein p53
ENSG00000073282	TP63	EEC3,KET,NBP,OFC8,p51,p53CP,p63,p73H,p73L,SHFM4,TP53CP,TP53L,TP73L	tumor protein p63
ENSG00000115705	TPO	TPX	thyroid peroxidase
ENSG00000172236	TPSAB1	TPS1,TPS2,TPSB1	tryptase alpha/beta 1
ENSG00000161911	TREML1	dJ238O23.3,TLT1	triggering receptor expressed on myeloid cells-like 1
ENSG00000146063	TRIM41	MGC1127,RINCK	tripartite motif containing 41
ENSG00000177238	TRIM72		tripartite motif containing 72
ENSG00000156298	TSPAN7	A15,CD231,DXS1692E,MRX58,MXS1,TALLA-1,TM4SF2	tetraspanin 7
ENSG00000178021	TSPYL6		TSPY-like 6
ENSG00000128311	TST	RDS	thiosulfate sulfurtransferase (rhodanese)
ENSG00000182670	TTC3	DCRR1,RNF105,TPRD,TPRDI,TPRDII,TPRDIII	tetratricopeptide repeat domain 3
ENSG00000118271	TTR	HsT2651,PALB	transthyretin
ENSG00000188229	TUBB2C	Beta2	tubulin, beta 2C
ENSG00000025708	TYMP	ECGF1,MNGIE	thymidine phosphorylase
ENSG00000107165	TYRP1	b-PROTEIN,CAS2,CATB,GP75,TRP,TYRP	tyrosinase-related protein 1
ENSG00000177889	UBE2N	MGC8489,UBC13,UbcH-ben	ubiquitin-conjugating enzyme E2N
ENSG00000094841	UPRT	DKFZp781E1243,FUR1,MGC23937,RP11-311P8.3	uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)
ENSG00000183878	UTY		ubiquitously transcribed tetratricopeptide repeat gene, Y-linked
ENSG00000038427	VCAN	CSPG2,PG-M	versican
ENSG00000127831	VIL1	D2S1471,VIL	villin 1
ENSG00000154978	VOPP1	DKFZp564K0822,ECop,FLJ20532,GASP	vesicular, overexpressed in cancer, prosurvival protein 1
ENSG00000141252	VPS53	FLJ10979,HCCS1	vacuolar protein sorting 53 homolog (S. cerevisiae)
ENSG00000109072	VTN	VN	vitronectin
ENSG00000110799	VWF	F8VWF	von Willebrand factor
ENSG00000140395	WDR61	REC14	WD repeat domain 61
ENSG00000174851	YIF1A	54TM,FinGER7,YIF1,YIF1P	Yip1 interacting factor homolog A (S. cerevisiae)
ENSG00000115085	ZAP70	SRK,STD,ZAP-70	zeta-chain (TCR) associated protein kinase 70kDa
ENSG00000109906	ZBTB16	PLZF,ZNF145	zinc finger and BTB domain containing 16
ENSG00000187969	ZCCHC13	4930513O09RIK,Cnbp2,ZNF9L	zinc finger, CCHC domain containing 13
ENSG00000177054	ZDHHC13	FLJ10852,FLJ10941,HIP14L	zinc finger, DHHC-type containing 13
ENSG00000152977	ZIC1	ZIC,ZNF201	Zic family member 1
ENSG00000147394	ZNF185		zinc finger protein 185 (LIM domain)
ENSG00000102870	ZNF629	KIAA0326,ZNF65	zinc finger protein 629
ENSG00000169955	ZNF747	MGC2474	zinc finger protein 747
ENSG00000169951	ZNF764	MGC13138	zinc finger protein 764
